tipo,numero,titulo,secao,estrofe,texto,arquivo
hino,162,Cristo salvou-me,estrofe,1,"Cristo salvoume, tenho certeza, Por Sua obra de redenção; Fui perdoado por Sua gra.ça, Sinto agora Sua unção. sinto a virtude Que tão alegre me faz viver; Sei que, de Cristo, a plenitude Da Sua graça vou receber.",docs/ccb-hinario-5-do/do/musescore/xml/hino-162.mscx
hino,162,Cristo salvou-me,estrofe,2,"Cristo salvoume; que alegria Sente minh'alma em Seu amor; Fui resgatado e libertado Para viver com o meu Senhor. Oh! Que doçura,",docs/ccb-hinario-5-do/do/musescore/xml/hino-162.mscx
hino,162,Cristo salvou-me,estrofe,3,"Cristo salvoume; sigo, portanto, Os bons conselhos do Criador; Ando, por eles, no bom caminho Que me conduz ao lar de esplendor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-162.mscx
hino,163,Neste mundo de ilusão,estrofe,1,"Neste mundo de ilusão não há felicidade; Só em Cristo há salvação, pois Ele é a Verdade; EiLo à porta a bater, vida quer te conceder; De ninguém a podes ter, só do Cordeiro de",docs/ccb-hinario-5-do/do/musescore/xml/hino-163.mscx
hino,163,Neste mundo de ilusão,estrofe,2,"Por ti, Cristo padeceu dando a própria vida; Pela morte que sofreu, graça te é concedida; Por ti, Ele agonizou e Seu sangue derramou; Sua vida não pou-pou, Cristo, o Cordeiro de",docs/ccb-hinario-5-do/do/musescore/xml/hino-163.mscx
hino,163,Neste mundo de ilusão,estrofe,3,"Sem a Luz e sem a Paz andas, no mundo, aflito; Cristo mui feliz te faz; oh! vem a Ele, contrito; Vem, sim, vem ao bom Jesus, receber a Sua luz, Que à glória te conduz. Vem ao Cordeiro de",docs/ccb-hinario-5-do/do/musescore/xml/hino-163.mscx
hino,163,Neste mundo de ilusão,coro,,"Deus. Deus. Deus! Queres felicidade? Crê no Senhor Je sus, Que, por ti, desceu dos céus; Crê no Cordeiro de Deus!",docs/ccb-hinario-5-do/do/musescore/xml/hino-163.mscx
hino,164,Louvemos sempre alegres,estrofe,1,"Louvemos sempre alegres a Deus, três vezes Santo, Que, por amarnos tanto, mandou o Salvador. Je sus, por Sua morte, pagou nossas ofensas; Sofrendo dor imensa, mostrou o Seu amor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-164.mscx
hino,164,Louvemos sempre alegres,estrofe,2,"Estão os nossos nomes, por Deus, no céu escritos; Cheguemonos, contritos, ao Pai de eterno amor Em paz, na Sua senda caminham os remi dos, Lutando sempre unidos, com força e valor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-164.mscx
hino,164,Louvemos sempre alegres,estrofe,3,"Jesus vi rá, com glória, fazer o Julgamento De quem Seu mandamento não quis obedecer; Porém, os Seus remidos já têm a esperança E a firme confiança de o prêmio receber.",docs/ccb-hinario-5-do/do/musescore/xml/hino-164.mscx
hino,165,Foi o Senhor Jesus,estrofe,1,"Para salvarnos, Quem veio do céu? Nosso Senhor Jesus. Ele, ao poder do pecado venceu, Trouxenos vida e luz.",docs/ccb-hinario-5-do/do/musescore/xml/hino-165.mscx
hino,165,Foi o Senhor Jesus,estrofe,2,"Quem, nesta graça, nos pode guardar? Cristo, fiel Pas tor. Suas palavras nos podem guiar Ao lar de esplendor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-165.mscx
hino,165,Foi o Senhor Jesus,estrofe,3,"Quem poderá novas forças nos dar? Cristo, o Rei des reis. Ele nos faz glória eterna alcançar; É Guia dos fiéis.",docs/ccb-hinario-5-do/do/musescore/xml/hino-165.mscx
hino,165,Foi o Senhor Jesus,coro,,Foi o Senhor Jesus Que nos abençoou; Da escravidão nos libertou Nosso Senhor Jesus.,docs/ccb-hinario-5-do/do/musescore/xml/hino-165.mscx
hino,166,A graça inefável de Deus,estrofe,1,"Se muitos soubessem que paz sem igual Tem quem o perdão alcançou; Por fé buscariam a graça eternal; Iriam a Deus, que os amou.",docs/ccb-hinario-5-do/do/musescore/xml/hino-166.mscx
hino,166,A graça inefável de Deus,estrofe,2,"Se muitos soubessem que grande amor Desfrutam os santos de Deus, Iriam a Cristo Jesus, o Senhor, Teriam herança nos céus.",docs/ccb-hinario-5-do/do/musescore/xml/hino-166.mscx
hino,166,A graça inefável de Deus,estrofe,3,"Se muitos soubessem a glória que há No reino que vamos herdar, Creriam em Cristo, que vida nos dá, Iriam o mal rejeitar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-166.mscx
hino,166,A graça inefável de Deus,coro,,"A graça i -nefável de Deus, Que veio por Cristo Jesus, É dom excelente que leva aos céus, Ao reino de gló ria e luz.",docs/ccb-hinario-5-do/do/musescore/xml/hino-166.mscx
hino,167,Água viva,estrofe,1,"Á gua viva sai do Manancial Que é Cristo, o Reden tor; Ela traz, dos céus, vida eternal E converte o peca",docs/ccb-hinario-5-do/do/musescore/xml/hino-167.mscx
hino,167,Água viva,estrofe,2,Água viva da Fonte de amor Só Jesus nos pode dar; D'Ele vem perdão para o pecador Que deseja se sal,docs/ccb-hinario-5-do/do/musescore/xml/hino-167.mscx
hino,167,Água viva,estrofe,3,"Água viva do trono celestial, Refrigério todos traz; Outras águas há, mas nenhuma igual A do Príncipe da",docs/ccb-hinario-5-do/do/musescore/xml/hino-167.mscx
hino,167,Água viva,coro,,"dor. var. paz. Dessa água quem quiser be ber, Só a Cristo deve recorrer; Outra água nos fa rá perecer, Mas a de Jesus nos faz viver.",docs/ccb-hinario-5-do/do/musescore/xml/hino-167.mscx
hino,168,A Palavra do Senhor,estrofe,1,"Na Palavra do Senhor, bons conselhos pode a-char, Neste mundo, o pecador que na glória quer entrar; Tem virtude, tem vigor a Palavra do Senhor, É a Guia do fiel para ir ao Cria",docs/ccb-hinario-5-do/do/musescore/xml/hino-168.mscx
hino,168,A Palavra do Senhor,estrofe,2,"Quem procura o Salvador, certamente O achará No Evangelho de amor, que riqueza a todos dá; Quem quiser de graça ter o perdão e salvação, Deve a Cristo recorrer, com sincero cora",docs/ccb-hinario-5-do/do/musescore/xml/hino-168.mscx
hino,168,A Palavra do Senhor,estrofe,3,"Quem a Cristo encontrar e virtude suplicar, Transformado ficará para, a Deus, glorificar; Provará o puro amor de Jesus, o Salvador, Sustentado pela fé no poder do Cria",docs/ccb-hinario-5-do/do/musescore/xml/hino-168.mscx
hino,168,A Palavra do Senhor,coro,,"dor. ção. dor. A Palavra do Senhor Mostra a todo o pecador Que Deus, por Scu grande a -mor, Enviou o Salva-dor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-168.mscx
hino,169,Aos pés de Deus estamos,estrofe,1,"Aos pés de Deus estamos, perante Quem nos prostramos; Por fé O adoramos com devoção e fervor; Em nome do Seu Filho, nós nos apresentamos; Humildemente oramos, rogando Seu favor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-169.mscx
hino,169,Aos pés de Deus estamos,estrofe,2,"Tudo que padecemos, já padeceu nosso Mestre, Mas foi vitorioso; nos concedeu salvação; Ele intercede agora junto ao Pai celeste Para ser atendida a nossa oração.",docs/ccb-hinario-5-do/do/musescore/xml/hino-169.mscx
